ID,Time,What,When,Where,Name
323369061134688_1575020089425521,2015-06-13T16:32:42+0000,WHAT: CERC's Frist Ph.D. thesis defense,WHEN: 1630 - 1830hrs IST July 6 2015 ,WHERE: Board room Fifth floor IIIT-Delhi ,CERC's First Ph.D. Thesis Defense: Aditi Gupta
323369061134688_402645816583687,2015-03-10T14:59:40+0000,,WHEN: 1700hrs IST April 10 2015,WHERE: C21 Second floor Lecture Hall Building IIITD. ,"CERC Seminar Series by Prof. Mustaque Ahamad GaTech. The Growing Attack Surface: Understanding and Mitigating Cross-Channel Cyber Threats"""
323369061134688_499579833513609,2015-02-14T07:49:00+0000,,,,TweetCred
323369061134688_498918736913052,2015-02-12T18:43:13+0000,,,,Security & Privacy Symposium 2015
323369061134688_498918530246406,2015-02-12T18:41:50+0000,,,,Security & Privacy Symposium 2015
323369061134688_498917940246465,2015-02-12T18:40:43+0000,,,,Security & Privacy Symposium 2015
323369061134688_378291345663121,2014-11-28T10:40:23+0000,,WHEN: Feb 14th ,WHERE: CERC@IIITD,3rd Security & Privacy Symposium
323369061134688_236788149840834,2014-11-21T14:15:27+0000,WHAT: CERC's fourth Masters thesis defense,WHEN:  15:,WHERE: Board room Fifth floor IIIT-Delhi ,CERC's Fourth Masters Thesis Defense: Aritra Dhar
323369061134688_1511653072420620,2014-11-17T23:44:42+0000,,WHEN: 1600hrs IST Dec 1 2014,WHERE: Board Room Academic Building IIITD. ,"CERC Seminar Series by Mr. Nigel Jones Cranfield University UK ""Contemporary Information Warfare and Defence"""
323369061134688_721914134565997,2014-11-16T12:46:31+0000,WHAT: CERC Paper Reading Group Session 2,WHEN: 1200 hrs. IST Nov 20 2014,WHERE: Ground floor Library building,CERC Paper Reading Group: Session 2
323369061134688_1556425527924856,2014-11-05T17:04:58+0000,,WHEN: 1700hrs IST Nov 18 2014,WHERE: C21 Second floor Lecture Hall Building IIITD. ,"CERC Seminar Series by Dr. Muktesh Chander ""Cyber crimes and Policing"""
323369061134688_611230205665767,2014-11-03T11:59:26+0000,WHAT: CERC Paper Reading Group Session 1,WHEN: 1300 hrs. IST Nov 04 2014,WHERE: C13,CERC Paper Reading Group
323369061134688_439344712871511,2014-08-16T05:27:46+0000,,WHEN: 1600hrs IST Sept. 09 2014,WHERE: C21 Second floor Lecture Hall Building IIITD. ,"CERC Seminar Series by Mr. Felix Mohan ""Securing the Digital Enterprise"""
323369061134688_10201508679993765,2014-07-22T05:36:38+0000,,,,Events | Appmob-Training in 3D Printing|Android | Internet of Things| Big Data| HTML5
323369061134688_386392778165649,2014-05-11T15:10:12+0000,WHAT: CERC's Second and Third Master's Thesis Defense,WHEN: Friday  06 June 2014          0930 - 1100 hours IST- Sudip Mittal          1100 - 1230 hours IST- Abhishek Bhola,WHERE: Board Room B Wing 5th Floor IIIT-DelhiSudip's Thesis Defense,CERC's Second and Third Master's Thesis Defense. Sudip Mittal & Abhishek Bhola.
323369061134688_1415743315367513,2014-05-08T16:58:10+0000,WHAT: CERC's Second and Third Master's Thesis Defense,WHEN: Friday  06 June 2014          0930 - 1100 hours IST- Sudip Mittal          1100 - 1230 hours IST- Abhishek Bhola,WHERE: Board Room B Wing 5th Floor IIIT-DelhiSudip's Thesis Defense,CERC's Second and Third Master's Thesis Defense. Sudip Mittal & Abhishek Bhola.
323369061134688_381088978696029,2014-04-27T09:48:41+0000,,,,Exploration of gaps in Bitly's spam detection and relevant counterm...
323369061134688_377672145704379,2014-04-18T03:17:01+0000,WHAT:  Background & Basics of Web App Security The HTTP Protocol Web  Application Insecurities OWASP Top 10 Vulnerabilities (XSS SQL Injection CSRF etc.) Web App Security Tools (Scanners Fuzzers etc) Remediation of Web App  Vulnerabilities Web Application Audits and Risk Assessment,,WHERE: Library building IIIT Delhi. ,Web Application Security 101
323369061134688_321457724672372,2014-04-15T03:03:51+0000,WHAT:  Background & Basics of Web App Security The HTTP Protocol Web  Application Insecurities OWASP Top 10 Vulnerabilities (XSS SQL Injection CSRF etc.) Web App Security Tools (Scanners Fuzzers etc) Remediation of Web App  Vulnerabilities Web Application Audits and Risk Assessment,,WHERE: Library building IIIT Delhi. ,Web Application Security 101
323369061134688_216526641890111,2014-04-09T12:05:26+0000,WHAT: CERC's first Masters thesis defense,WHEN: 1030 - 1200hrs IST April 23 2014,WHERE: Board room Fifth floor IIIT-Delhi ,CERC's First Masters Thesis Defense: Neha Gupta
323369061134688_622003834520048,2014-03-17T17:57:12+0000,,WHEN: 1600hrs IST March 25 2014,WHERE: C11 First floor Lecture Hall Building IIITD. ,CERC Seminar Series. Inaugural Seminar.
