created_time,what,when,where
2015-06-13T16:32:42+0000,CERC's Frist Ph.D. thesis defense,1630 - 1830hrs IST July 6 2015 ,Board room Fifth floor IIIT-Delhi 
2015-03-10T14:59:40+0000,,1700hrs IST April 10 2015,C21 Second floor Lecture Hall Building IIITD. 
2015-02-14T07:49:00+0000,,,
2015-02-12T18:43:13+0000,,,
2015-02-12T18:41:50+0000,,,
2015-02-12T18:40:43+0000,,,
2014-11-28T10:40:23+0000,,Feb 14th ,CERC@IIITD
2014-11-21T14:15:27+0000,CERC's fourth Masters thesis defense, 15:,Board room Fifth floor IIIT-Delhi 
2014-11-17T23:44:42+0000,,1600hrs IST Dec 1 2014,Board Room Academic Building IIITD. 
2014-11-16T12:46:31+0000,CERC Paper Reading Group Session 2,1200 hrs. IST Nov 20 2014,Ground floor Library building
2014-11-05T17:04:58+0000,,1700hrs IST Nov 18 2014,C21 Second floor Lecture Hall Building IIITD. 
2014-11-03T11:59:26+0000,CERC Paper Reading Group Session 1,1300 hrs. IST Nov 04 2014,C13
2014-08-16T05:27:46+0000,,1600hrs IST Sept. 09 2014,C21 Second floor Lecture Hall Building IIITD. 
2014-07-22T05:36:38+0000,,,
2014-05-11T15:10:12+0000,CERC's Second and Third Master's Thesis Defense,Friday  06 June 2014          0930 - 1100 hours IST- Sudip Mittal          1100 - 1230 hours IST- Abhishek Bhola,Board Room B Wing 5th Floor IIIT-DelhiSudip's Thesis Defense
2014-05-08T16:58:10+0000,CERC's Second and Third Master's Thesis Defense,Friday  06 June 2014          0930 - 1100 hours IST- Sudip Mittal          1100 - 1230 hours IST- Abhishek Bhola,Board Room B Wing 5th Floor IIIT-DelhiSudip's Thesis Defense
2014-04-27T09:48:41+0000,,,
2014-04-18T03:17:01+0000, Background & Basics of Web App Security The HTTP Protocol Web  Application Insecurities OWASP Top 10 Vulnerabilities (XSS SQL Injection CSRF etc.) Web App Security Tools (Scanners Fuzzers etc) Remediation of Web App  Vulnerabilities Web Application Audits and Risk Assessment,,Library building IIIT Delhi. 
2014-04-15T03:03:51+0000, Background & Basics of Web App Security The HTTP Protocol Web  Application Insecurities OWASP Top 10 Vulnerabilities (XSS SQL Injection CSRF etc.) Web App Security Tools (Scanners Fuzzers etc) Remediation of Web App  Vulnerabilities Web Application Audits and Risk Assessment,,Library building IIIT Delhi. 
2014-04-09T12:05:26+0000,CERC's first Masters thesis defense,1030 - 1200hrs IST April 23 2014,Board room Fifth floor IIIT-Delhi 
2014-03-17T17:57:12+0000,,1600hrs IST March 25 2014,C11 First floor Lecture Hall Building IIITD. 
